Barista,Patron,Enter,Cost,Exit,Line,Final Cost
0,145,136,3.3000000000000003,524,queue,388
0,146,138,3,527,queue,389
0,147,139,3,530,queue,391
0,148,139,3.3000000000000003,534,queue,395
0,149,141,3,537,queue,396
0,150,142,3,540,queue,398
0,151,144,3,543,queue,399
0,152,145,3,546,queue,401
0,153,145,3.3000000000000003,550,queue,405
0,154,147,3,553,queue,406
0,155,148,3,556,queue,408
0,156,149,3.3000000000000003,560,queue,411
0,157,150,3.3000000000000003,564,queue,414
0,158,152,3,567,queue,415
0,159,153,3.3000000000000003,571,queue,418
0,160,155,3,574,queue,419
0,161,155,3.3000000000000003,578,queue,423
0,162,157,3,581,queue,424
0,163,158,3,584,queue,426
0,164,159,3.3000000000000003,588,queue,429
0,165,161,3,591,queue,430
0,166,162,3.3000000000000003,595,queue,433
0,167,163,3.3000000000000003,599,queue,436
0,168,164,3.3000000000000003,603,queue,439
0,169,166,3,606,queue,440
0,170,167,3,609,queue,442
0,171,169,3,612,queue,443
0,172,170,3,615,queue,445
0,173,170,3.3000000000000003,619,queue,449
0,174,172,3,622,queue,450
0,175,173,3,625,queue,452
0,176,174,3.3000000000000003,629,queue,455
0,177,175,3.3000000000000003,633,queue,458
0,178,177,3.3000000000000003,637,queue,460
0,179,178,3.3000000000000003,641,queue,463
0,180,180,3.3000000000000003,645,queue,465
0,181,181,3.3000000000000003,649,queue,468
0,182,182,3.3000000000000003,653,queue,471
0,183,184,3.3000000000000003,657,queue,473
0,184,185,3.3000000000000003,661,queue,476
0,185,187,3,664,queue,477
0,186,188,3,667,queue,479
0,187,189,3.3000000000000003,671,queue,482
0,188,190,3.3000000000000003,675,queue,485
0,189,192,3.3000000000000003,679,queue,487
0,190,193,3.3000000000000003,683,queue,490
0,191,195,3.3000000000000003,687,queue,492
0,192,196,3.3000000000000003,691,queue,495
0,193,197,3.3000000000000003,695,queue,498
0,194,199,3.3000000000000003,699,queue,500
1,196,1,3.3000000000000003,5,queue,4
1,197,2,3,8,line,6
1,198,6,3,11,line,5
1,199,8,3.3000000000000003,15,line,7
1,200,10,3,18,line,8
1,201,12,3,21,line,9
1,202,15,3.3000000000000003,25,line,10
1,203,17,3,28,line,11
1,204,19,3,31,line,12
1,205,22,3,34,line,12
1,206,24,3,37,line,13
1,207,26,3,40,line,14
1,208,29,3,43,line,14
1,209,31,3,46,line,15
1,210,32,3,49,line,17
1,211,35,3,52,line,17
1,212,38,3,55,line,17
1,213,39,3,58,line,19
1,214,41,3,61,line,20
1,215,44,3,64,line,20
1,216,46,3,67,line,21
1,217,47,3,70,line,23
1,218,50,3,73,line,23
1,219,53,3,76,line,23
1,220,53,3.3000000000000003,80,line,27
1,221,56,3,83,line,27
1,222,59,3,86,line,27
1,223,61,3.3000000000000003,90,line,29
1,224,63,3,93,line,30
1,225,65,3,96,line,31
1,226,68,3,99,line,31
1,227,70,3,102,line,32
1,228,71,3,105,line,34
1,229,74,3,108,line,34
1,230,77,3,111,line,34
1,231,77,3.3000000000000003,115,line,38
1,232,81,3,118,line,37
1,233,84,3,121,line,37
1,234,85,3,124,line,39
1,235,87,3,127,line,40
1,236,91,3,130,line,39
1,237,92,3,133,line,41
1,238,94,3,136,line,42
1,239,97,3,139,line,42
1,240,99,3,142,line,43
1,241,100,3,145,line,45
1,242,103,3,148,line,45
1,243,106,3,151,line,45
1,244,106,3.3000000000000003,155,line,49
1,245,109,3,158,line,49
1,246,112,3,161,line,49
1,247,114,3,164,line,50
1,248,116,3,167,line,51
1,249,119,3,170,line,51
1,250,121,3,173,line,52
1,251,122,3,176,line,54
1,252,125,3,179,line,54
1,253,128,3,182,line,54
1,254,129,3,185,line,56
1,255,131,3,188,line,57
1,256,134,3,191,line,57
1,257,136,3,194,line,58
1,258,137,3,197,line,60
1,259,140,3,200,line,60
1,260,143,3,203,line,60
1,261,143,3.3000000000000003,207,line,64
1,262,146,3,210,line,64
1,263,149,3,213,line,64
1,264,151,3.3000000000000003,217,line,66
1,265,152,3.3000000000000003,221,line,69
1,266,156,3,224,line,68
1,267,159,3,227,line,68
1,268,160,3,230,line,70
1,269,162,3,233,line,71
1,270,165,3,236,line,71
1,271,167,3.3000000000000003,240,line,73
1,272,168,3.3000000000000003,244,line,76
1,273,171,3,247,line,76
1,274,174,3,250,line,76
1,275,176,3,253,line,77
1,276,177,3,256,line,79
1,277,180,3,259,line,79
1,278,183,3,262,line,79
1,279,184,3,265,line,81
1,280,186,3,268,line,82
1,281,189,3,271,line,82
1,282,191,3,274,line,83
1,283,192,3,277,line,85
1,284,195,3,280,line,85
1,285,198,3,283,line,85
1,286,198,3.3000000000000003,287,line,89
1,287,52,3.3000000000000003,291,queue,239
1,288,54,3.3000000000000003,295,queue,241
1,289,55,3.3000000000000003,299,queue,244
1,290,57,3,302,queue,245
1,291,58,3,305,queue,247
1,292,59,3.3000000000000003,309,queue,250
1,293,60,3.3000000000000003,313,queue,253
1,294,62,3,316,queue,254
1,295,63,3.3000000000000003,320,queue,257
1,296,64,3.3000000000000003,324,queue,260
1,297,66,3,327,queue,261
1,298,67,3,330,queue,263
1,299,68,3.3000000000000003,334,queue,266
1,300,69,3.3000000000000003,338,queue,269
1,301,71,3.3000000000000003,342,queue,271
1,302,72,3.3000000000000003,346,queue,274
1,303,74,3.3000000000000003,350,queue,276
1,304,75,3.3000000000000003,354,queue,279
1,305,76,3.3000000000000003,358,queue,282
1,306,78,3.3000000000000003,362,queue,284
1,307,80,3,365,queue,285
1,308,80,3.3000000000000003,369,queue,289
1,309,82,3,372,queue,290
1,310,83,3,375,queue,292
1,311,84,3.3000000000000003,379,queue,295
1,312,86,3,382,queue,296
1,313,87,3.3000000000000003,386,queue,299
1,314,88,3.3000000000000003,390,queue,302
1,315,89,3.3000000000000003,394,queue,305
1,316,90,3.3000000000000003,398,queue,308
1,317,92,3.3000000000000003,402,queue,310
1,318,94,3.3000000000000003,406,queue,312
1,319,95,3.3000000000000003,410,queue,315
1,320,96,3.3000000000000003,414,queue,318
1,321,98,3,417,queue,319
1,322,99,3.3000000000000003,421,queue,322
1,323,101,3,424,queue,323
1,324,102,3,427,queue,325
1,325,102,3.3000000000000003,431,queue,329
1,326,104,3,434,queue,330
1,327,105,3,437,queue,332
1,328,107,3,440,queue,333
1,329,108,3,443,queue,335
1,330,108,3.3000000000000003,447,queue,339
1,331,110,3,450,queue,340
1,332,111,3,453,queue,342
1,333,112,3.3000000000000003,457,queue,345
1,334,113,3.3000000000000003,461,queue,348
1,335,115,3,464,queue,349
1,336,116,3.3000000000000003,468,queue,352
1,337,117,3.3000000000000003,472,queue,355
1,338,118,3.3000000000000003,476,queue,358
1,339,120,3,479,queue,359
1,340,121,3.3000000000000003,483,queue,362
1,341,123,3,486,queue,363
1,342,124,3,489,queue,365
1,343,125,3.3000000000000003,493,queue,368
1,344,126,3.3000000000000003,497,queue,371
1,345,127,3.3000000000000003,501,queue,374
1,346,129,3.3000000000000003,505,queue,376
1,347,130,3.3000000000000003,509,queue,379
1,348,132,3,512,queue,380
1,349,133,3,515,queue,382
1,350,134,3.3000000000000003,519,queue,385
1,351,135,3.3000000000000003,523,queue,388
1,352,137,3.3000000000000003,527,queue,390
1,353,138,3.3000000000000003,531,queue,393
1,354,140,3.3000000000000003,535,queue,395
1,355,141,3.3000000000000003,539,queue,398
1,356,142,3.3000000000000003,543,queue,401
1,357,144,3.3000000000000003,547,queue,403
1,358,146,3.3000000000000003,551,queue,405
1,359,147,3.3000000000000003,555,queue,408
1,360,148,3.3000000000000003,559,queue,411
1,361,150,3,562,queue,412
1,362,151,3,565,queue,414
1,363,153,3,568,queue,415
1,364,154,3,571,queue,417
1,365,154,3.3000000000000003,575,queue,421
1,366,156,3.3000000000000003,579,queue,423
1,367,157,3.3000000000000003,583,queue,426
1,368,158,3.3000000000000003,587,queue,429
1,369,160,3.3000000000000003,591,queue,431
1,370,161,3.3000000000000003,595,queue,434
1,371,163,3,598,queue,435
1,372,164,3,601,queue,437
1,373,165,3.3000000000000003,605,queue,440
1,374,166,3.3000000000000003,609,queue,443
1,375,168,3,612,queue,444
1,376,169,3.3000000000000003,616,queue,447
1,377,171,3.3000000000000003,620,queue,449
1,378,172,3.3000000000000003,624,queue,452
1,379,173,3.3000000000000003,628,queue,455
1,380,175,3,631,queue,456
1,381,176,3.3000000000000003,635,queue,459
1,382,178,3,638,queue,460
1,383,179,3,641,queue,462
1,384,179,3.3000000000000003,645,queue,466
1,385,181,3,648,queue,467
1,386,182,3,651,queue,469
1,387,183,3.3000000000000003,655,queue,472
1,388,185,3,658,queue,473
1,389,186,3.3000000000000003,662,queue,476
1,390,187,3.3000000000000003,666,queue,479
1,391,188,3.3000000000000003,670,queue,482
1,392,190,3,673,queue,483
1,393,191,3.3000000000000003,677,queue,486
1,394,193,3,680,queue,487
1,395,194,3,683,queue,489
1,396,194,3.3000000000000003,687,queue,493
1,397,196,3,690,queue,494
1,398,197,3,693,queue,496
1,399,199,3,696,queue,497
1,400,200,3,699,queue,499
